date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:33	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2023%20Nov%202018%2011:19:33%20GMT	http://credal.devv.website/robots.txt		(from )
15:19:33	28492/28492	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Nov%202018%2011:19:33%20GMT	http://credal.devv.website/	C:/My%20Web%20Sites/Credal/credal.devv.website/index.html	(from )
15:19:34	1743/1743	---M--	200	added ('OK')	text/css	date:Sat,%2013%20Oct%202018%2020:50:20%20GMT	http://credal.devv.website/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://credal.devv.website/)
15:19:34	708/708	---MC-	200	added ('OK')	application/rss+xml	etag:%22696c234c1b2eed3d4a66ba60d068cca3%22	http://credal.devv.website/comments/feed/	C:/My%20Web%20Sites/Credal/credal.devv.website/comments/feed/index.html	(from http://credal.devv.website/)
15:19:35	15993/15993	---MC-	200	added ('OK')	application/rss+xml	etag:%22eb91e3f63e77965171db6efd04d153a0%22	http://credal.devv.website/feed/	C:/My%20Web%20Sites/Credal/credal.devv.website/feed/index.html	(from http://credal.devv.website/)
15:19:35	21799/21799	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2020:07:08%20GMT	http://credal.devv.website/wp-content/themes/credal/style.css?ver=4.9.8	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/themes/credal/style5010.css	(from http://credal.devv.website/)
15:19:37	30611/30611	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2019:57:34%20GMT	http://credal.devv.website/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.5.5	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min24b2.css	(from http://credal.devv.website/)
15:19:38	121260/121260	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2017:12:18%20GMT	http://credal.devv.website/wp-content/themes/credal/assets/css/bootstrap.min.css?ver=3.3.7	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/themes/credal/assets/css/bootstrap.min7433.css	(from http://credal.devv.website/)
15:19:39	26411/26411	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2017:12:18%20GMT	http://credal.devv.website/wp-content/themes/credal/assets/css/camera.css?ver=1.3.4	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/themes/credal/assets/css/camerac412.css	(from http://credal.devv.website/)
15:19:39	20777/20777	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2010:38:12%20GMT	http://credal.devv.website/wp-content/themes/credal-child/style.css?ver=4.9.8	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/themes/credal-child/style5010.css	(from http://credal.devv.website/)
15:19:40	5651/5651	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2017:27:40%20GMT	http://credal.devv.website/wp-content/themes/credal/assets/css/mobile.css?ver=1.0.0	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/themes/credal/assets/css/mobile8a54.css	(from http://credal.devv.website/)
15:19:47	484758/484758	---M--	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2019:57:28%20GMT	http://credal.devv.website/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.5.5	C:/My%20Web%20Sites/Credal/credal.devv.website/wp-content/plugins/js_composer/assets/css/js_composer.min24b2.css	(from http://credal.devv.website/)
